idVotacao,uriVotacao,siglaBancada,orientacao,fonte_orientacao,prioridade_orientacao
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,Oposição,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PSDB,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,REPUBLICANOS,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,REDE,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PATRIOTA,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PDT,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,AVANTE,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,Minoria,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PL,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PODE,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PT,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PTB,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PSOL,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,CIDADANIA,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,MDB,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,NOVO,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PCdoB,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PROS,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,SOLIDARIEDADE,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PSD,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PP,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PSC,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PSL,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PV,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,Governo,Não,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,PSB,Sim,Bancada,10
2238112-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-82,DEM,Não,Bancada,10
2238112-81,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-81,MDB,Não,Bancada,10
2238112-81,https://dadosabertos.camara.leg.br/api/v2/votacoes/2238112-81,PCdoB,Sim,Bancada,10
